section,field,value,country
meta,tax_year,2024-25,
meta,period_start,2024-04-06,
meta,period_end,2024-07-05,
meta,nino,AA123456A,
meta,business_id,XAIS12345678901,
self_employment,turnover,12500.00,
self_employment,other,150.00,
self_employment,cost_of_goods,2100.00,
self_employment,payments_to_subcontractors,0,
self_employment,wages_and_staff_costs,0,
self_employment,car_van_travel_expenses,420.50,
self_employment,premises_running_costs,900.00,
self_employment,maintenance_costs,75.00,
self_employment,admin_costs,120.00,
self_employment,advertising_costs,60.00,
self_employment,professional_fees,300.00,
self_employment,other_expenses,45.00,
uk_property,period_amount,4800.00,
uk_property,other_income,0,
uk_property,premises_running_costs,350.00,
uk_property,repairs_and_maintenance,200.00,
uk_property,financial_costs,180.00,
uk_property,professional_fees,90.00,
uk_property,other,25.00,
foreign_property,rent_income,2200.00,FRA
foreign_property,premises_running_costs,150.00,FRA
foreign_property,repairs_and_maintenance,80.00,FRA
foreign_property,other,40.00,FRA
